CNPJ,Fundo,Variavel,Valor,Z-Score
42592357000156,NOME NAO ENCONTRADO,pl_medio,22112105753.477356,6.148979291012553
42699050000159,NOME NAO ENCONTRADO,pl_medio,14098404010.324137,3.872425958469362
42814769000193,NOME NAO ENCONTRADO,pl_medio,20248503712.231003,5.61956235318373
42814944000142,NOME NAO ENCONTRADO,pl_medio,52797573967.555374,14.866187288314462
42847784000138,NOME NAO ENCONTRADO,pl_medio,36533146397.39216,10.2457462020964
42860483000144,NOME NAO ENCONTRADO,pl_medio,52767607102.09807,14.857674222866152
43617343000102,NOME NAO ENCONTRADO,pl_medio,15351361768.81,4.228369472720302
43617375000108,NOME NAO ENCONTRADO,pl_medio,17930255145.8358,4.960988242411566
43810237000140,NOME NAO ENCONTRADO,pl_medio,20231607964.040733,5.61476256488599
44703501000100,NOME NAO ENCONTRADO,pl_medio,19676538846.15265,5.4570770793736845
44703508000121,NOME NAO ENCONTRADO,pl_medio,19721210929.072166,5.469767641426229
46133770000103,NOME NAO ENCONTRADO,pl_medio,175236611393.95477,49.648988997225125
46975107000156,NOME NAO ENCONTRADO,pl_medio,64608458935.02441,18.2214543539934
47525165000140,NOME NAO ENCONTRADO,pl_medio,64611302930.086716,18.222262283542612
50803123000139,NOME NAO ENCONTRADO,pl_medio,31939436768.004738,8.940753166330792
50803936000129,NOME NAO ENCONTRADO,pl_medio,25694272870.62534,7.166610686545508
51998694000139,NOME NAO ENCONTRADO,pl_medio,22531784681.696426,6.268202777643008
52298374000139,NOME NAO ENCONTRADO,pl_medio,26642739330.485382,7.436053516988336
54487736000165,NOME NAO ENCONTRADO,pl_medio,14664259827.259197,4.033175757634658
55274875000173,NOME NAO ENCONTRADO,pl_medio,18319729353.912727,5.0716310932132815
55574437000120,NOME NAO ENCONTRADO,pl_medio,60778308309.92494,17.133375155492857
56915560000120,NOME NAO ENCONTRADO,pl_medio,22494793705.608917,6.257694284491514
57176726000105,NOME NAO ENCONTRADO,pl_medio,14031804386.061005,3.853506163171028
